"Summary","UID","Description","Location","Start Time","End Time","URL"
"","","","",""
"","","","",""
"","","","<icalendar.prop.vDDDTypes object at 0x03B1D0D0>",""
"","","","<icalendar.prop.vDDDTypes object at 0x03B1D410>",""
"","","","",""
"","","","<icalendar.prop.vDDDTypes object at 0x03AED310>",""
"","","","<icalendar.prop.vDDDTypes object at 0x039DEEF0>",""
"Dia de los Reyes Magios","","","<icalendar.prop.vDDDTypes object at 0x039DEF50>",""
"Black Friday","","","<icalendar.prop.vDDDTypes object at 0x03B1DB10>",""
"Biology Final","","","<icalendar.prop.vDDDTypes object at 0x03B1DF50>",""
"Physics Final","","","<icalendar.prop.vDDDTypes object at 0x041E23D0>",""
"World Studies Final","","","<icalendar.prop.vDDDTypes object at 0x041E27F0>",""
"World Literature FInal","","","<icalendar.prop.vDDDTypes object at 0x041E2BF0>",""
"World Studies Final Part 2: Essay","","","<icalendar.prop.vDDDTypes object at 0x041E2830>",""
"Math Three Final","","","<icalendar.prop.vDDDTypes object at 0x041E7410>",""
"French Final","","","<icalendar.prop.vDDDTypes object at 0x041E77F0>",""
"Cousins Come","","","<icalendar.prop.vDDDTypes object at 0x041E7BF0>",""
"Project due","","","<icalendar.prop.vDDDTypes object at 0x041E7830>",""
"The Sorceress","DUE!","","<icalendar.prop.vDDDTypes object at 0x041ED410>",""
"Robot Bag and Tag","","","<icalendar.prop.vDDDTypes object at 0x041ED8D0>",""
"Product Team Presentation","","","<icalendar.prop.vDDDTypes object at 0x041EDB70>",""
"Yearbook Orders Due!","","","<icalendar.prop.vDDDTypes object at 0x03DF2310>",""
"PTO Meeting","19:00 – 20:30
7:00-8:30","","<icalendar.prop.vDDDTypes object at 0x03DF2950>",""
"Sam - Product Team Presentation","","","<icalendar.prop.vDDDTypes object at 0x03DF2CD0>",""
"Dawa Product Team Presentation","","","<icalendar.prop.vDDDTypes object at 0x03DF77B0>",""
"Zane Product Team Presentation","","","<icalendar.prop.vDDDTypes object at 0x03DF7F50>",""
"Zafir Product Team Presentation","","","<icalendar.prop.vDDDTypes object at 0x03DFC710>",""
"Daniel - Product Team Presentation","","","<icalendar.prop.vDDDTypes object at 0x03DFCEB0>",""
"PTO Monthly Meeting","","WIHI","<icalendar.prop.vDDDTypes object at 0x03E01630>",""
"PTO Monthly Meeting","","WIHI","<icalendar.prop.vDDDTypes object at 0x03E01AF0>",""
"Leadership Enrichment Summer Dates","","","<icalendar.prop.vDDDTypes object at 0x03E072D0>",""
"Leadership Enrichment Summer Dates","","","<icalendar.prop.vDDDTypes object at 0x03E07690>",""
"Leadership Enrichment Summer Dates","","","<icalendar.prop.vDDDTypes object at 0x03E07A50>",""
"Leadership Enrichment Summer Dates","","","<icalendar.prop.vDDDTypes object at 0x03E07E10>",""
" Viewing Night - ON! ","Weather permitting, this is your chance to look through the 1857 Fitz refractor. Please note it is a 19th century building, so things move at a 19th century pace. You must be able to climb stairs to get to the telescope. Criteria for opening the dome:  It must be between 40 and 90deg F, less than 80% humidity, and less than 10% chance of rain. ","Detroit Observatory - on the corner of Ann and Observatory in Ann Arbor, MI","<icalendar.prop.vDDDTypes object at 0x03E0C1F0>",""
"Black Friday","","","<icalendar.prop.vDDDTypes object at 0x03E0C490>",""
"Practice ACT @ College Tutors","","","<icalendar.prop.vDDDTypes object at 0x03E0C970>",""
"Practice ACT @ College Tutors","","","<icalendar.prop.vDDDTypes object at 0x03E0CDB0>",""
"Calling all leaders!!!","","","<icalendar.prop.vDDDTypes object at 0x03E161F0>",""
"TEDx Auditions","","","<icalendar.prop.vDDDTypes object at 0x03E165D0>",""
"TEDx Auditions","","","<icalendar.prop.vDDDTypes object at 0x03E169D0>",""
"TEDxYouth Ann Arbor","","","<icalendar.prop.vDDDTypes object at 0x03E16DD0>",""
"Practice ACT @ College Tutors","","","<icalendar.prop.vDDDTypes object at 0x03E1B1F0>",""
"Practice ACT @ College Tutors","","","<icalendar.prop.vDDDTypes object at 0x03E1B630>",""
"Practice ACT @ College Tutors","","","<icalendar.prop.vDDDTypes object at 0x03E1BA50>",""
"History Day Registration Confirmation","","","<icalendar.prop.vDDDTypes object at 0x03E1BE70>",""
"Summer Engineering Academy Application -- Close Date","","","<icalendar.prop.vDDDTypes object at 0x03E20270>",""
"robotics meet","","","<icalendar.prop.vDDDTypes object at 0x03E20730>",""
"robotics meet","","","<icalendar.prop.vDDDTypes object at 0x03E20AF0>",""
"NHD Michigan States Tournament","","","<icalendar.prop.vDDDTypes object at 0x03E20D90>",""
"Gull Lake District Competition","","","<icalendar.prop.vDDDTypes object at 0x03E272F0>",""
"robotics meet","","","<icalendar.prop.vDDDTypes object at 0x03E276D0>",""
"robotics meet","","","<icalendar.prop.vDDDTypes object at 0x03E27A90>",""
"SEA and CEDO Application Dealine","","","<icalendar.prop.vDDDTypes object at 0x03E27E50>",""
"FRC States Competition","","","<icalendar.prop.vDDDTypes object at 0x03E2B230>",""
"Going to Spain","","","<icalendar.prop.vDDDTypes object at 0x03E2B5F0>",""
"First Day of School","","","<icalendar.prop.vDDDTypes object at 0x03E2B890>",""
"Water Project Earth Day Dodgeball Event","","","<icalendar.prop.vDDDTypes object at 0x03E2BCF0>",""
"Sophomore Bonding Trip","","","<icalendar.prop.vDDDTypes object at 0x03E2B930>",""
"Band Rehersal","","WIHI","<icalendar.prop.vDDDTypes object at 0x03EF25D0>",""
"Hybrid Online Government","","","<icalendar.prop.vDDDTypes object at 0x03AED870>",""
"Civil and Environmental Engineering High School Career Internship Program","","","<icalendar.prop.vDDDTypes object at 0x03AED6D0>",""
"CAD Crash Course Beta","","","<icalendar.prop.vDDDTypes object at 0x03EF2EF0>",""
"Driving Practice","","","<icalendar.prop.vDDDTypes object at 0x03EFB470>",""
"Work @ Art Fair","","","<icalendar.prop.vDDDTypes object at 0x03EFBA30>",""
"Work @ Art Fair","","","<icalendar.prop.vDDDTypes object at 0x03F001B0>",""
"Segment One Driving","","Sears Authorized Driving School, 900 Briarwood Circle, Ann Arbor, MI 48108, United States","<icalendar.prop.vDDDTypes object at 0x03F00450>",""
"Mackinaw Island","","","<icalendar.prop.vDDDTypes object at 0x03F00AF0>",""
"Driving Practice","","","<icalendar.prop.vDDDTypes object at 0x03F00D90>",""
"Driving Practice","","","<icalendar.prop.vDDDTypes object at 0x03F09290>",""
"Driving Practice","","","<icalendar.prop.vDDDTypes object at 0x03F09710>",""
"Driving Practice","","","<icalendar.prop.vDDDTypes object at 0x03F09B90>",""
"Follow-Up from Tuesday June 30","","","<icalendar.prop.vDDDTypes object at 0x03F10030>",""
"NHS Meeting","","","<icalendar.prop.vDDDTypes object at 0x03F10390>",""
"Apprendre le Participe Présent et écrire les notes dans mon cahier","","","<icalendar.prop.vDDDTypes object at 0x03F10810>",""
"Écrir dix phrase avec le Participe Présent","","","<icalendar.prop.vDDDTypes object at 0x03F10C10>",""
"Black Friday","","","<icalendar.prop.vDDDTypes object at 0x03F10FF0>",""
"Student leader meeting September 6","","","<icalendar.prop.vDDDTypes object at 0x03F14570>",""
"Battle of Hornburg Due","","","<icalendar.prop.vDDDTypes object at 0x03F14810>",""
"WIHI College Night","","","<icalendar.prop.vDDDTypes object at 0x03F14D30>",""
"Water Project Field Day","","","<icalendar.prop.vDDDTypes object at 0x03F14FD0>",""
"NHS Meeting","","","<icalendar.prop.vDDDTypes object at 0x03F1A450>",""
"No School","","","<icalendar.prop.vDDDTypes object at 0x03F1A910>",""
"JSA Midwest Fall State Conference","","The Madison Concourse Hotel, 1 W Dayton St, Madison, WI 53703, United States","<icalendar.prop.vDDDTypes object at 0x03F1ACD0>",""
"WIHI Tutoring","","","<icalendar.prop.vDDDTypes object at 0x03F20030>",""
"WIMA Tutoring","","","<icalendar.prop.vDDDTypes object at 0x03F20470>",""
"Robotics Day in Lansing","","Capital","<icalendar.prop.vDDDTypes object at 0x03F20830>",""
"NHS Tutoring","","","<icalendar.prop.vDDDTypes object at 0x03F20BF0>",""
"Math Challenge Test","","","<icalendar.prop.vDDDTypes object at 0x03F20FB0>",""
"NHS Meeting Dates","","","<icalendar.prop.vDDDTypes object at 0x03F25270>",""
"NHS Meeting Dates","","","<icalendar.prop.vDDDTypes object at 0x03F256D0>",""
"WIMAHI Mentoring Program Calendars - Important Dates","","","<icalendar.prop.vDDDTypes object at 0x03F25B90>",""
"PSAT","","","<icalendar.prop.vDDDTypes object at 0x03F25F50>",""
"PSAT Math Prep","","","<icalendar.prop.vDDDTypes object at 0x03F2D330>",""
"Yoshimoto Essay Due","","","<icalendar.prop.vDDDTypes object at 0x03F2D6F0>",""
"Crew Practice","","","<icalendar.prop.vDDDTypes object at 0x03F2DAB0>",""
"Make Up Picture Day","","","<icalendar.prop.vDDDTypes object at 0x03F2DE70>",""
